experiment,task_type,outcome,test_rows,labeled,unlabeled,positives
exp2,regression,min_creatinine,85057.0,60076.0,0.0,
exp2,regression,min_dbp,85057.0,11973.0,0.0,
exp2,regression,min_glucose,85057.0,58898.0,0.0,
exp2,regression,min_heart_rate,85057.0,12016.0,0.0,
exp2,regression,min_hemoglobin,85057.0,59675.0,0.0,
exp2,regression,min_potassium,85057.0,59808.0,0.0,
exp2,regression,min_sbp,85057.0,11973.0,0.0,
exp2,regression,min_sodium,85057.0,59570.0,0.0,
exp2,regression,min_troponin,85057.0,2628.0,0.0,
exp2,regression,peak_bnp,85057.0,1175.0,0.0,
exp2,regression,peak_creatinine,85057.0,60076.0,0.0,
exp2,regression,peak_potassium,85057.0,59808.0,0.0,
exp2,regression,peak_troponin,85057.0,2628.0,0.0,
exp3,binary,crrt_initiation,16529.0,16429.0,0.0,71.0
exp3,binary,hemodialysis_initiation,16529.0,16330.0,0.0,135.0
exp3,binary,hyperkalemia,16529.0,14635.0,0.0,99.0
exp3,binary,hypoglycemia,16529.0,14803.0,0.0,85.0
exp3,binary,hypotension,16529.0,5176.0,0.0,1997.0
exp3,binary,imv_event,16529.0,14766.0,0.0,1224.0
exp3,binary,long_length_of_stay,16529.0,16529.0,0.0,15438.0
exp3,binary,profound_hyponatremia,16529.0,14858.0,0.0,17.0
exp3,binary,prolonged_icu_stay,16529.0,16529.0,0.0,8041.0
exp3,binary,same_admission_death,16529.0,16529.0,0.0,209.0
exp3,binary,severe_anemia,16529.0,13991.0,0.0,341.0
exp3,binary,severe_hypernatremia,16529.0,14976.0,0.0,16.0
exp3,binary,severe_hypertension,16529.0,10740.0,0.0,784.0
exp3,binary,severe_hypokalemia,16529.0,14984.0,0.0,26.0
exp3,binary,tachycardia_hr130,16529.0,11148.0,0.0,526.0
exp3,binary,vasopressor_initiation,16529.0,13654.0,0.0,642.0
exp3,regression,max_dbp,16529.0,12183.0,0.0,
exp3,regression,max_glucose,16529.0,14947.0,0.0,
exp3,regression,max_heart_rate,16529.0,12232.0,0.0,
exp3,regression,max_hemoglobin,16529.0,14854.0,0.0,
exp3,regression,max_sbp,16529.0,12187.0,0.0,
exp3,regression,max_sodium,16529.0,15032.0,0.0,
exp3,regression,min_bnp,16529.0,628.0,0.0,
exp3,regression,min_creatinine,16529.0,14977.0,0.0,
exp3,regression,min_dbp,16529.0,12183.0,0.0,
exp3,regression,min_glucose,16529.0,14947.0,0.0,
exp3,regression,min_heart_rate,16529.0,12232.0,0.0,
exp3,regression,min_hemoglobin,16529.0,14854.0,0.0,
exp3,regression,min_potassium,16529.0,15071.0,0.0,
exp3,regression,min_sbp,16529.0,12187.0,0.0,
exp3,regression,min_sodium,16529.0,15032.0,0.0,
exp3,regression,min_troponin,16529.0,1347.0,0.0,
exp3,regression,peak_bnp,16529.0,628.0,0.0,
exp3,regression,peak_creatinine,16529.0,14977.0,0.0,
exp3,regression,peak_potassium,16529.0,15071.0,0.0,
exp3,regression,peak_troponin,16529.0,1347.0,0.0,
